WARNING: naive/sim/testbench.v:55: $readmemh(naive/sim/inst_rom.data): Not enough words in the file for the requested range [0:1023].
VCD info: dumpfile naive_cpu.vcd opened for output.
Time:                25000, PC: 00000000, Inst: 00000000, x1:          0, x2:          0, x3:          0
Time:                35000, PC: 00000000, Inst: 00000000, x1:          0, x2:          0, x3:          0
Time:                45000, PC: 00000004, Inst: 00000093, x1:          0, x2:          0, x3:          0
Time:                55000, PC: 00000008, Inst: 00100113, x1:          0, x2:          0, x3:          0
Time:                65000, PC: 0000000c, Inst: 06500193, x1:          0, x2:          0, x3:          0
Time:                75000, PC: 00000010, Inst: 00310863, x1:          0, x2:          0, x3:          0
Time:                85000, PC: 00000010, Inst: 00310863, x1:          0, x2:          0, x3:          0
Time:                95000, PC: 00000010, Inst: 00310863, x1:          0, x2:          1, x3:          0
Time:               105000, PC: 00000014, Inst: 002080b3, x1:          0, x2:          1, x3:        101
Time:               115000, PC: 00000018, Inst: 00110113, x1:          0, x2:          1, x3:        101
Time:               125000, PC: 0000001c, Inst: ffbff06f, x1:          0, x2:          1, x3:        101
Time:               135000, PC: 00000020, Inst: 800002b7, x1:          0, x2:          1, x3:        101
Time:               145000, PC: 00000012, Inst: 00000013, x1:          1, x2:          1, x3:        101
Time:               155000, PC: 00000016, Inst: 002080b3, x1:          1, x2:          2, x3:        101
Time:               165000, PC: 0000001a, Inst: 00110113, x1:          1, x2:          2, x3:        101
Time:               175000, PC: 0000001e, Inst: ffbff06f, x1:          1, x2:          2, x3:        101
Time:               185000, PC: 00000022, Inst: 800002b7, x1:          1, x2:          2, x3:        101
Time:               195000, PC: 00000014, Inst: 00000013, x1:          3, x2:          2, x3:        101
Time:               205000, PC: 00000018, Inst: 00110113, x1:          3, x2:          3, x3:        101
Time:               215000, PC: 0000001c, Inst: ffbff06f, x1:          3, x2:          3, x3:        101
Time:               225000, PC: 00000020, Inst: 800002b7, x1:          3, x2:          3, x3:        101
Time:               235000, PC: 00000012, Inst: 00000013, x1:          3, x2:          3, x3:        101
Time:               245000, PC: 00000016, Inst: 002080b3, x1:          3, x2:          4, x3:        101
Time:               255000, PC: 0000001a, Inst: 00110113, x1:          3, x2:          4, x3:        101
Time:               265000, PC: 0000001e, Inst: ffbff06f, x1:          3, x2:          4, x3:        101
Time:               275000, PC: 00000022, Inst: 800002b7, x1:          3, x2:          4, x3:        101
Time:               285000, PC: 00000014, Inst: 00000013, x1:          7, x2:          4, x3:        101
Time:               295000, PC: 00000018, Inst: 00110113, x1:          7, x2:          5, x3:        101
Time:               305000, PC: 0000001c, Inst: ffbff06f, x1:          7, x2:          5, x3:        101
Time:               315000, PC: 00000020, Inst: 800002b7, x1:          7, x2:          5, x3:        101
Time:               325000, PC: 00000012, Inst: 00000013, x1:          7, x2:          5, x3:        101
Time:               335000, PC: 00000016, Inst: 002080b3, x1:          7, x2:          6, x3:        101
Time:               345000, PC: 0000001a, Inst: 00110113, x1:          7, x2:          6, x3:        101
